Organization Code	Organization Name	Location Code	Location Name	Street	City	State	Zip	Phone	Fax
 AMMO	 American Medical Administrators - MO	 BevMed	 Bevier Medical Clinic	 211 N Macon Street	 Bevier	 Missouri	63532		
 AMMO	 American Medical Administrators - MO	 BHCCLLC	" Bridgewood Health Care Center, LLC"	 11515 Troost Avenue	 Kansas City	 Missouri	64131		
 AMMO	 American Medical Administrators - MO	 BHCC	 Brunswick Health Care Center	 721 W Harrison Street	 Brunswick	 Missouri	65236		
 AMMO	 American Medical Administrators - MO	 CLHCC	 Cedars of Liberty Health Care Center	 200 Ruth Ewing Road	 Liberty	 Missouri	64068		
 AMMO	 American Medical Administrators - MO	 CPHCC	 Chariton Park Health Care Center	 902 Manor Drive	 Salisbury	 Missouri	65281		
 AMMO	 American Medical Administrators - MO	 CWHCC	 Crestwood Health Care Cennter	 11400 Mehl Avenue	 Florissant	 Missouri	63033		
 AMMO	 American Medical Administrators - MO	 CPW	 CuraPath Wellness	 1231 1st Street	 Kennett	 Missouri	63857		
 AMMO	 American Medical Administrators - MO	 EMCC	 Eastview Manor Care Center	 1622 E 28th Street	 Trenton	 Missouri	64683		
 AMMO	 American Medical Administrators - MO	 EWM	 Edgewood Manor	 11900 Jessica Lane	 Raytown	 Missouri	64138		
 AMMO	 American Medical Administrators - MO	 FVNH	 Fair View Nursing Home	 1714 W 16th Street	 Sedalia	 Missouri	65301		
 AMMO	 American Medical Administrators - MO	 FMG	 Family Medical Group	 201 First Executive Avenue	 St. Peters	 Missouri	63376		
 AMMO	 American Medical Administrators - MO	 FSLC	 Four Seasons Living Center	 2800 State Hwy TT	 Sedalia	 Missouri	65301		
 AMMO	 American Medical Administrators - MO	 GBNHC	 General Baptist Nursing Home of Campbell	 17108 US-62	 Campbell	 Missouri	63933		
 AMMO	 American Medical Administrators - MO	 GBNHP	 General Baptist Nursing Home of Piggott	 450 S 9th Avenue	 Piggott	 Arkansas	72454		
 AMMO	 American Medical Administrators - MO	 GCC	 Gideon Care Center	 300 Lunbeck Avenue	 Gideon	 Missouri	63848		
 AMMO	 American Medical Administrators - MO	 GMC	 Gideon Medical Clinic	 100 N Main Street	 Gideon	 Missouri	63848		
 AMMO	 American Medical Administrators - MO	 GMCNRHC	 Gideon Medical Clinic - Non-RHC	 100 N Main Street	 Gideon	 Missouri	63848		
 AMMO	 American Medical Administrators - MO	 GMNH	 Grand Manor Nursing Home	 3645 Cook Avenue	 St. Louis	 Missouri	63113		
 AMMO	 American Medical Administrators - MO	 GRMC	 Great River Medical Center	 1520 N Division Street	 Blytheville	 Arkansas	72315		
 AMMO	 American Medical Administrators - MO	 GMRH	 Green Meadows Retirement Home	 411 N King's Highway	 Sikeston	 Missouri	63801		
 AMMO	 American Medical Administrators - MO	 GVHCC	 Greenville Health Care Center	 117 Sycamore Street	 Greenville	 Missouri	63944		
 AMMO	 American Medical Administrators - MO	 GRLC	 Gregory Ridge Living Center	 7001 Cleveland Avenue	 Kansas City	 Missouri	64132		
 AMMO	 American Medical Administrators - MO	 HMDXRHC	 Hayti Medical & Diagnostic - RHC	 223 S 3rd Street	 Hayti	 Missouri	63851		
 AMMO	 American Medical Administrators - MO	 HMaD	 Hayti Medical and Diagnostic	 223 S 3rd Street	 Hayti	 Missouri	63851		
 AMMO	 American Medical Administrators - MO	 HCC	 Heritage Care Center	 4401 N Hanley Road	 St. Louis	 Missouri	63134		
 AMMO	 American Medical Administrators - MO	 HNC	 Heritage Nursing Center	 1802 St. Francis Street	 Kennett	 Missouri	63857		
 AMMO	 American Medical Administrators - MO	 HHCC	 Holton Health Care Center	 1121 W 7th Street	 Holton	 Kansas	66436		
 AMMO	 American Medical Administrators - MO	 HACC	 Hunter Acres Caring Center	 628 N West Street	 Sikeston	 Missouri	63801		
 AMMO	 American Medical Administrators - MO	 KPAMNR	 Kennett Pediatric & Adolescent Medical NON_RHC	 211 Teaco Road	 Kennett	 Missouri	63857		
 AMMO	 American Medical Administrators - MO	 KPAM	" Kennett Pediatric - McPherson Medical & Diagnostic, LLC"	 211 Teaco Road	 Kennett	 Missouri	63857	5737171072	
 AMMO	 American Medical Administrators - MO	 LRHCC	 Levering Regional Health Care Center	 1734 Market Street	 Hannibal	 Missouri	63401		
 AMMO	 American Medical Administrators - MO	 LRC	 Levering Residential Care	 1734 Market Street	 Hannibal	 Missouri	63401		
 AMMO	 American Medical Administrators - MO	 LHSLC	 Loch Haven Senior Living Community	 701 Sunset Hills Drive	 Macon	 Missouri	63552		
 AMMO	 American Medical Administrators - MO	 MaHCC	 Macon Health Care Center	 29612 Kellogg Avenue	 Macon	 Missouri	63552		
 AMMO	 American Medical Administrators - MO	 MMC	 Macon Medical Clinic	 307 McKay Street	 Macon	 Missouri	63552		
 AMMO	 American Medical Administrators - MO	 MFCandD	 Malden Family Clinic & Diagnostic	 1207 N Douglas Street	 Malden	 Missouri	63863		
 AMMO	 American Medical Administrators - MO	 MFMCarthage	 Manzer Family Medicine - Carthage	 3071 Grand Avenue	 Carthage	 Missouri	64836		
 AMMO	 American Medical Administrators - MO	 MFMColumbus	 Manzer Family Medicine - Columbus	 915 W Maple Street	 Columbus	 Kansas	66725		
 AMMO	 American Medical Administrators - MO	 MFMGalena	 Manzer Family Medicine - Galena	 1605 KS-66	 Galena	 Kansas	66739		
 AMMO	 American Medical Administrators - MO	 MCMADX	 McPherson Medical & Diagnostic	 901 W Commercial Avenue	 Kennett	 Missouri	63857		
 AMMO	 American Medical Administrators - MO	 McP	" McPherson Medical & Diagnostic, LLC"	 901 W Commercial Avenue	 Kennett	 Missouri	63857	5737171072	
 AMMO	 American Medical Administrators - MO	 MWBJC	 Midwest Bone & Joint Center	 1706 Prospect Drive	 Macon	 Missouri	63552		
 AMMO	 American Medical Administrators - MO	 MIGFAC	 Migrated_Facility						
 AMMO	 American Medical Administrators - MO	 MiHCC	 Milan Health Care Center	 52435 Infirmary Road	 Milan	 Missouri	63556		
 AMMO	 American Medical Administrators - MO	 MMDDRW	 MMD Dr. Wood						
 AMMO	 American Medical Administrators - MO	 NRHCC	 Nathan Richard Health Care Center	 700 E Highland Avenue	 Nevada	 Missouri	64772		
 AMMO	 American Medical Administrators - MO	 NHCHC	 NHC HealthCare	 1120 Falcon Drive	 Kennett	 Missouri	63857		
 AMMO	 American Medical Administrators - MO	 NHC	 Nick's Healthcare Center	 253 MO-116	 Plattsburg	 Missouri	64477		
 AMMO	 American Medical Administrators - MO	 NVP	 North Village Park	 2041 Silva Lane	 Moberly	 Missouri	65270		
 AMMO	 American Medical Administrators - MO	 NHCC	 Nortonville Health Care Center	 412 E Walnut Street	 Nortonville	 Kansas	66060		
 AMMO	 American Medical Administrators - MO	 PHRC	 Parkway Health & Rehabilitation Center	 2323 Swope Parkway	 Kansas City	 Missouri	64130		
 AMMO	 American Medical Administrators - MO	 PIPC	 Pemiscot Interventional Pain Center	 907 E Reed Street	 Hayti	 Missouri	63851		
 AMMO	 American Medical Administrators - MO	 PMH	 Pemiscot Memorial Hospital	 946 E Reed Street	 Hayti	 Missouri	63851		
 AMMO	 American Medical Administrators - MO	 PMHLTSCU	 Pemiscot Memorial Hospital Long Term Skilled Care Unit	 946 E Reed Street	 Hayti	 Missouri	63851		
 AMMO	 American Medical Administrators - MO	 PMSING	 Pemiscot Memorial Scheduling	 946 E Reed Street	 Hayti	 Missouri	63851		
 AMMO	 American Medical Administrators - MO	 PCAL	 Pettis County Assisted Living	 3017 Brooking Park Avenue	 Sedalia	 Missouri	65301		
 AMMO	 American Medical Administrators - MO	 PCH	 Piggott Community Hospital	 1206 Gordon Duckworth Drive	 Piggott	 Arkansas	72454		
 AMMO	 American Medical Administrators - MO	 PVHCC	 Portageville Health Care Center	 290 MO-162	 Portageville	 Missouri	63873		
 AMMO	 American Medical Administrators - MO	 PORTNURCT	 Portageville Nursing Center	 290 MO-162	 Portageville	 Missouri	63873		
 AMMO	 American Medical Administrators - MO	 PFandA	 Premier Foot and Ankle	" 6810 State Route 162, Suite #20"	 Maryville	 Illinois	62062		
 AMMO	 American Medical Administrators - MO	 PWC	 Probst Wellness Center	 10345 Watson Road	 St. Louis	 Missouri	63127		
 AMMO	 American Medical Administrators - MO	 RHCRH	 Rest Haven Convalescent & Retirement Home	 1800 S Ingram Avenue	 Sedalia	 Missouri	65301		
 AMMO	 American Medical Administrators - MO	 ROCC	 River Oaks Care Center	 1001 N Walnut Street	 Steele	 Missouri	63877		
 AMMO	 American Medical Administrators - MO	 SFM	 Sacry Family Medicine	 433 S Garrison Avenue	 Carthage	 Missouri	64836		
 AMMO	 American Medical Administrators - MO	 SLNC	 Saint Luke's Nursing Center	 1220 E Fairview Avenue	 Carthage	 Missouri	64836		
 AMMO	 American Medical Administrators - MO	 SamH	 Samaritan Hospital	 1205 N Missouri Street	 Macon	 Missouri	63552		
 AMMO	 American Medical Administrators - MO	 MCPMDXLLC	" Scott City - McPherson Medical & Diagnostic, LLC"	 2102 Main Street	 Scott City	 Missouri	63780		
 AMMO	 American Medical Administrators - MO	 SCMC	 Scott City Medical Clinic	 2102 Main Street	 Scott City	 Missouri	63780		
 AMMO	 American Medical Administrators - MO	 MMDXAEL	" Scott City, Joseph Hazan (AEL LAB) - McPherson Medical & Diagnostic, LLC"	" 16216 Baxter Road, Suite #100"	 Chesterfield	 Missouri	63017		
 AMMO	 American Medical Administrators - MO	 MMDXJH	" Scott City, Joseph Hazan - McPherson Medical & Diagnostic, LLC"	" 16216 Baxter Road, Suite #100"	 Chesterfield	 Missouri	63017		
 AMMO	 American Medical Administrators - MO	 MMDXEMD	" Scott City, Richard Muckerman - McPherson Medical & Diagnostic, LLC"	" 16216 Baxter Road, Suite #100"	 Chesterfield	 Missouri	63017		
 AMMO	 American Medical Administrators - MO	 SHCC	 Senath Health Care Center	 300 E Hornbeck Street	 Senath	 Missouri	63876		
 AMMO	 American Medical Administrators - MO	 SSHCC	 Senath South Health Care Center	 300 E Hornbeck Street	 Senath	 Missouri	63876		
 AMMO	 American Medical Administrators - MO	 SMCRMC	 SMC Regional Medical Center	 611 W Lee Avenue	 Osceola	 Arkansas	72370		
 AMMO	 American Medical Administrators - MO	 SGLC	 Southgate Living Center	 500 N Truman Boulevard	 Caruthersville	 Missouri	63830		
 AMMO	 American Medical Administrators - MO	 SECC	 St. Elizabeth Care Center	 649 S Walnut Street	 St. Elizabeth	 Missouri	65075		
 AMMO	 American Medical Administrators - MO	 SFPSL	 St. Francis Park Senior Living	 1806 St. Francis Street	 Kennett	 Missouri	63857		
 AMMO	 American Medical Administrators - MO	 STLHCG	 St. Louis Healthcare Group	" 16216 Baxter Road, Suite #100"	 Chesterfield	 Missouri	63017		
 AMMO	 American Medical Administrators - MO	 SFC	 Steele Family Clinic	 216 W Main Street	 Steele	 Missouri	63877		
 AMMO	 American Medical Administrators - MO	 SFCNR	 Steele Family Clinic - Non RHC	" 216 W Main Street	"	 Steele	 Missouri	63877		
 AMMO	 American Medical Administrators - MO	 SCHC	 Stonecrest Healthcare	 2 State Hwy Y	 Viburnum	 Missouri	65566		
 AMMO	 American Medical Administrators - MO	 TFP	 Tague Family Practice	" 10004 Kennerly Road, Suite #186B"	 St. Louis	 Missouri	63128		
 AMMO	 American Medical Administrators - MO		 TEST Location	 123 ABC Way					
 AMMO	 American Medical Administrators - MO	 TestL	 Testing						
 AMMO	 American Medical Administrators - MO	 WVHCC	 Wellsville Health Care Center	 250 E Locust Street	 Wellsville	 Missouri	63384		
 AMMO	 American Medical Administrators - MO	 WVNH	 Westview Nursing Home	 301 Dunlop Street	 Center	 Missouri	63436		
 AMGA	 AMGA HC Lab	 AIVSL	 Alexander IV Senior Living	 3769 Ridge Avenue	 Macon	 Georgia	31204		
 AMGA	 AMGA HC Lab	 AMGAD	 AMGA Diagnostics	" 6501 Peake Road, Suite #400"	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	 AMGAHCLABFL	 AMGA HC Lab Florida	" 1499 Forest Hills Boulevard, Suite #112"	 West Palm Beach	 Florida	33406		
 AMGA	 AMGA HC Lab	 AMGAHC	 AMGA HC Lab Texas						
 AMGA	 AMGA HC Lab	 AMGAO	 AMGA Ortho Sports & Wound Care	" 6501 Peake Road, Suite #400"	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	 ASLA	 Antebellum Senior Living on Arlington	 684 Arlington Place	 Macon	 Georgia	31201		
 AMGA	 AMGA HC Lab	 PLANT	 Baptist Village	 5953 Plantation Villa Drive	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	3001070	 Carlyle Place Harrington House (Nh 32)	 5300 Zebulon Road	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	3001015	 Carlyle Place Harrington House (Snf 31)	 5300 Zebulon Road	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	3001105	 Carlyle Place Senior Living Community	 5300 Zebulon Road	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	 GCA13	 Church Home Grace Garden	 2470 US-41 N	 Fort Valley	 Georgia	31030		
 AMGA	 AMGA HC Lab	 CHLSRHC	 Church Home LifeSpring Rehabilitation & Healthcare (Nh 32)	 2470 US-41 N	 Fort Valley	 Georgia	31030		
 AMGA	 AMGA HC Lab	 CHSNF31	 Church Home LifeSpring Rehabilitation & Healthcare (Snf 31)	 2470 US-41 N	 Fort Valley	 Georgia	31030		
 AMGA	 AMGA HC Lab	 FPoC	 Family Practice of Conyers	 1039 East Freeway Drive	 Conyers	 Georgia	30094		
 AMGA	 AMGA HC Lab	 GVS	 Georgia Vascular Specialists	" 1718 Peachtree Street NW, Suite #360"	 Atlanta	 Georgia	30309		
 AMGA	 AMGA HC Lab	 Harley	 Harley Institute	 2678 Buford Highway	 Atlanta	 Georgia	30309		
 AMGA	 AMGA HC Lab	 JWVRC	 John-Wesley Villa Retirement Community	 5471 Thomaston Road	 Macon	 Georgia	31220		
 AMGA	 AMGA HC Lab	 OLWW	 Oaks at Lake Wildwood	 6191 Peake Road	 Macon	 Georgia	31220		
 AMGA	 AMGA HC Lab	3001069	 PruittHealth - Eastside (Nh 32)	 2795 Finney Circle	 Macon	 Georgia	31217		
 AMGA	 AMGA HC Lab	3001016	 PruittHealth - Eastside (Snf 31)	 2795 Finney Circle	 Macon	 Georgia	31217		
 AMGA	 AMGA HC Lab	3001099	 PruittHealth - Peake (Nh 32)	 6190 Peake Road	 Macon	 Georgia	31220		
 AMGA	 AMGA HC Lab	3001100	 PruittHealth - Peake (Snf 31)	 6190 Peake Road	 Macon	 Georgia	31220		
 AMGA	 AMGA HC Lab	 SPCB	 Southern Primary Care - Bowman	" 2040 Bowman Park, Suite A"	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	 SPCDa	 Southern Primary Care - Dallas	" 51 Seven Hills Boulevard, Suite #102"	 Dallas	 Georgia	30132		
 AMGA	 AMGA HC Lab	 SPCDe	 Southern Primary Care - Decatur	" 4153 Flat Shoals Parkway, Suite #300B"	 Decatur	 Georgia	30034		
 AMGA	 AMGA HC Lab	 SCPHC	 Southern Primary Care - House Call	" 6501 Peake Road, Suite #400"	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	 SPCI	 Southern Primary Care - Ingleside	 2192 Ingleside Avenue	 Macon	 Georgia	31204		
 AMGA	 AMGA HC Lab	 SPCL	 Southern Primary Care - Lawrenceville	" 1670 McKendree Church Road, Suite #800"	 Lawrenceville	 Georgia	30043		
 AMGA	 AMGA HC Lab	 SPCM	 Southern Primary Care - Macon	 197 Bass Road	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	 SPCR	 Southern Primary Care - Riverdale	 217 Medical Way	 Riverdale	 Georgia	30274		
 AMGA	 AMGA HC Lab	 SPCUC	 Southern Primary Care - Union City	" 6781 Londonderry Way, Suite #5"	 Union City	 Georgia	30291		
 AMGA	 AMGA HC Lab	 SPCWR	 Southern Primary Care - Warner Robins	" 101 Willie Lee Parkway, Suite #400"	 Warner Robins	 Georgia	31088		
 AMGA	 AMGA HC Lab		 TEST Location	 123 ABC Way					
 AMGA	 AMGA HC Lab	 TCW	 The Cottages on Wesleyan	 1633 Wesleyan Drive	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	 TOPIAL	 The Oaks - Peake (Independent and Assisted Living)	 400 Foster Road	 Macon	 Georgia	31210		
 AMGA	 AMGA HC Lab	 TCFM	 Total Care Family Medicine	" 2022 Fairburn Road, Suite D"	 Douglasville	 Georgia	30135		
 AMGA	 AMGA HC Lab	 WCSL	 Watercrest Senior Living	 111 Providence Boulevard	 Macon	 Georgia	31210		
 AMTXSealy	 AMTX HC Lab - Sealy	 MCOS	 Medical Clinics of Sealy	 1036 N Circle Drive	 Sealy	 Texas	77474	9798770022	9798853810
 AMTXSealy	 AMTX HC Lab - Sealy		 TEST Location	 123 ABC Way					
 AMTXStockton	 AMTX HC Lab - Stockton	 MallMC	 Mallik Medical Clinic	 237 W 21st Street	 Fort Stockton	 Texas	79735		
 AMTXStockton	 AMTX HC Lab - Stockton		 TEST Location						
 CSPI	 Coastal Spine & Pain Institute	 BMT	 Beaumont	" 3070 College Street, Suite 300"	 Beaumont	 Texas	77701	4098924600	
 CSPI	 Coastal Spine & Pain Institute	 JSP	 Jasper	" 2014 South Wheeler (Hwy 96), Suite 130"	 Jasper	 Texas	75951	4098924600	4098914605
 CSPI	 Coastal Spine & Pain Institute		 StratusDX	 123 Happy Valley	 Dallas	 Texas	75062	9726628022	
 CSPI	 Coastal Spine & Pain Institute		 TEST Location	 123 ABC Way					
 FMC	 FirstCare Medical Center PC	 FMC Brownsville	 Brownsville	 1215 E College Street	 Brownsville	 Tennessee	38012	7317723442	
 FMC	 FirstCare Medical Center PC	 FMC Jackson	 Jackson	" 168 W University Parkway, Suite A"	 Jackson	 Tennessee	38305		
 FMC	 FirstCare Medical Center PC		 Test Location						
 RBUC	 RBUC HC Lab	 RBUC	 Rivers Bend Urgent Care	 87 US-22	 Maineville	 Ohio	45039		
 SCNC	 Southern Crescent Neurological Clinic	 CL	 SCNC	" 1250 Highway 54 West, Suite 102"	 Fayetteville	 Georgia	30214	7707192965	
	 TEST		 TEST Location	 123 ABC Way					
